date,c1,c2,c2p,c3,c4,c5,f1,f2,f3,d2,d3,a1,a2,a4,a5,a6,a7,b1,b2,b3,b3t,b4,b5,b5l,e1,e2,e3,e4,e5,oi_level,price,sA,sB,sC,sD,eff,stC,cell,mult,flags
2026-09-12,8.095,,-3.2115,-1.63,0.5555,4.9821,,35.78,35.09,0.0579,1.0775,16.0,1.0572,-0.8329,-1.0,41.0,-1.0,-3.1213,0.8254,15.84,4.7,1.108,,58.2246,,,,,,805128.1968861268,77267.76,-2,0,0,1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-13,10.2174,,-3.6395,-2.39,0.5535,4.8852,,39.64,36.28,-0.054,1.0718,16.0,1.0572,-0.8329,-1.0,41.0,-1.0,-3.1213,0.8254,15.84,4.7,1.108,,58.8027,0.1474,1.6876,1.5427,-11.0758,47.3558,811600.5901908685,77415.21,-2,0,0,-1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-14,4.0979,,-1.0168,-0.71,0.548,4.8584,4.7453,36.77,36.57,-0.0031,1.0985,19.0,1.0572,-0.5805,-2.0,46.0,-1.0,-3.7137,-2.5843,17.1,2.18,0.7343,,58.4749,0.1666,2.6629,7.3423,-11.1189,47.6889,843334.0637266685,78287.79,-2,-1,0,-1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-15,5.5916,,-3.8406,-2.15,0.5477,5.0831,5.5235,38.4,37.4,-0.1995,0.8517,16.0,1.0573,-0.5805,1.0,46.0,-1.0,-4.3305,-3.5743,,,0.7343,,58.4704,0.1994,-1.8226,-6.5644,-12.4416,49.8416,856429.2993686692,75434.28,-2,-2,0,-1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-16,10.6965,,-3.1212,-3.75,0.5554,5.1102,-0.3993,33.47,35.13,-0.1428,0.8321,21.0,1.0572,-0.5805,1.0,48.0,0.0,-3.5006,1.0491,17.71,2.02,0.7343,,58.4313,0.2359,-2.8148,-4.5917,-13.9991,49.1291,839966.449492429,75840.61,-1,0,0,-1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-17,10.6811,,-0.1511,-4.57,0.5552,5.0613,-1.373,29.05,31.34,-0.0657,0.906,33.0,1.3369,-0.5805,-3.0,55.0,0.0,-4.3485,1.6489,15.44,3.11,0.7343,,58.1231,0.2187,4.4574,5.3972,-17.785,49.125,844670.4714020716,76420.92,-1,0,0,-1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-18,7.7567,,5.0784,-1.01,0.5632,4.956,4.783,33.26,33.46,0.049,0.9623,26.0,1.3369,-0.5805,-5.0,48.0,0.0,-4.1952,4.7932,14.81,3.43,0.7343,,58.3789,0.2455,10.174,5.4455,-14.3995,47.8595,880142.4380726952,81129.48,-1,1,0,1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-19,11.5659,7.8241,5.1231,-2.03,0.5622,5.0855,2.7764,33.17,34.79,-0.0012,0.8123,26.0,1.3369,-0.5805,-5.0,48.0,0.0,-4.4325,4.7932,14.81,3.43,0.7343,,58.8582,0.2445,15.982,11.2536,-9.4815,44.2715,868122.2923005018,81221.14,-1,1,0,-1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-20,7.7262,7.3223,5.2592,-2.71,0.5629,5.1045,-1.0355,34.28,34.41,-0.0239,0.65,26.0,1.3369,-0.5805,-5.0,48.0,0.0,-4.4325,4.7932,14.81,3.43,0.7343,,58.7337,0.2445,16.8677,12.1393,-2.8111,37.2211,871028.2793835979,80838.89,-1,1,0,-1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-21,9.7831,10.5227,10.8074,-0.27,0.5233,5.0086,7.3668,38.49,36.46,-0.0301,0.5817,28.0,1.3369,1.2286,-2.0,52.0,0.0,-5.7395,6.2784,14.87,3.21,-0.8601,,58.7951,0.3969,2.7848,-3.187,-6.3166,42.7766,932075.4180895556,86623.69,-1,1,1,-1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-22,0.2924,4.9763,14.0951,-0.09,0.5523,5.0816,3.2168,35.59,36.16,0.0166,0.682,24.0,1.3369,1.2286,-2.0,52.0,0.0,-4.834,11.1383,14.21,3.4,-0.8601,,58.83,0.3772,-0.2189,0.4854,-6.6092,42.7692,899047.5542468615,86237.8,-1,1,0,1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-23,5.1601,5.3143,10.9332,-1.46,0.5779,5.277,-5.093,33.44,34.66,0.0414,0.7319,31.0,1.3369,1.2286,-2.0,54.0,0.0,-6.0059,10.8881,15.18,2.93,-0.8601,,58.8532,0.3922,-1.1302,0.4734,-8.6472,43.3072,884604.4537392413,84470.08,-1,1,0,1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
2026-09-24,4.4525,3.8723,10.3954,-0.72,0.5229,5.1853,-2.4102,32.67,35.16,0.0344,0.6826,42.0,-0.1653,1.2286,6.0,66.0,0.0,-5.9003,8.7323,15.67,2.76,-0.8601,,58.5954,0.4067,-0.2191,0.6897,-8.1422,43.3022,877378.5763786539,84285.46,-2,1,0,1,Ουδέτερο,Ισορροπία,Ουδέτερο × Ισορροπία,0.5,
